pair_code,city,brand,category,female_product,male_product,female_size,male_size,retailer,date_observed,female_price_local,male_price_local,currency,female_on_promo,male_on_promo,match_quality,confidence,match_notes
BIOTIQUE-FACIALCL-HYD-AUTO001,Hyderabad,Biotique,Facial Cleanser,Biotique Bio Honey Gel Foaming Face Wash 100ml,Biotique Bio Neem Foaming Face Wash 100ml,100,100,Blinkit,2026-03-19,280,297,INR,0,0,3,MED,source=blinkit_raw.csv
BIOTIQUE-FACIALCL-HYD-AUTO001,Hyderabad,Biotique,Facial Cleanser,Biotique Bio Honey Gel Foaming Face Wash 100ml,Biotique Bio Neem Foaming Face Wash 100ml,100,100,Flipkart,2026-03-18,172,151,INR,0,0,3,HIGH,source=flipkart_raw.csv
COLGATE-TOOTHPAS-HYD-AUTO002,Hyderabad,Colgate,Toothpaste,Colgate Optic White Women (100g),Colgate Men Active Clean (100g),100,100,Amazon.in,2026-03-09,799,265,INR,1,1,3,HIGH,source=amazon_in_raw.csv
COLGATE-TOOTHPAS-HYD-AUTO002,Hyderabad,Colgate,Toothpaste,Colgate Optic White Women (100g),Colgate Men Active Clean (100g),100,100,Blinkit,2026-03-19,149,193,INR,0,0,3,MED,source=blinkit_raw.csv
COLGATE-TOOTHPAS-HYD-AUTO002,Hyderabad,Colgate,Toothpaste,Colgate Optic White Women (100g),Colgate Men Active Clean (100g),100,100,Flipkart,2026-03-18,298,152,INR,0,0,3,HIGH,source=flipkart_raw.csv
COWBRA-BARSOAP-HYD-AUTO029,Hyderabad,Cow Brand,Bar Soap,Cow Brand Excellent Beauty Soap 135g,Cow Brand Excellent Men Soap 135g,135,135,Amazon.in,2026-03-09,899,2349,INR,1,1,3,HIGH,source=amazon_in_raw.csv
CUREL-BODYLOTI-HYD-AUTO001,Hyderabad,Curel,Body Lotion,Curel Moisture Lotion 150ml,Curel Men Moisturizing Lotion 150ml,150,150,Amazon.in,2026-03-09,2120,2270,INR,1,1,3,HIGH,source=amazon_in_raw.csv
CUREL-FACETONE-HYD-AUTO033,Hyderabad,Curel,Face Toner,Curel Moisture Face Toner Women 150ml,Curel Men Toner 150ml,150,150,Amazon.in,2026-03-09,4299,4256,INR,1,1,3,HIGH,source=amazon_in_raw.csv
CUREL-FACIALCL-HYD-AUTO001,Hyderabad,Curel,Facial Cleanser,Curel Moisture Face Wash Women 150ml,Curel Men Face Wash 150ml,150,150,Amazon.in,2026-03-09,4299,1840,INR,1,1,3,HIGH,source=amazon_in_raw.csv
CUREL-SUNSCREE-HYD-AUTO035,Hyderabad,Curel,Sunscreen,Curel UV Protection Face Milk SPF50+ 60ml,Curel Men UV Protection Cream 60ml,60,60,Amazon.in,2026-03-09,2270,2270,INR,1,1,3,HIGH,source=amazon_in_raw.csv
DHC-FACIALCL-HYD-AUTO001,Hyderabad,DHC,Facial Cleanser,DHC Deep Cleansing Oil Women (120ml),DHC Men Oil Cleansing (120ml),120,120,Amazon.in,2026-03-09,9429,9429,INR,1,1,3,HIGH,source=amazon_in_raw.csv
DHC-HANDCREA-HYD-AUTO001,Hyderabad,DHC,Hand Cream,DHC Medicated Hand Cream Women 50ml,DHC Men Hand Cream 50ml,50,50,Amazon.in,2026-03-09,232904,245557,INR,1,0,3,HIGH,source=amazon_in_raw.csv
DOVE-BARSOAP-HYD-AUTO044,Hyderabad,Dove,Bar Soap,Dove Beauty Bar Japan 135g,Dove Men+Care Clean Comfort Bar Japan 135g,135,135,Amazon.in,2026-03-09,248,729,INR,1,1,3,HIGH,source=amazon_in_raw.csv
DOVE-BARSOAP-HYD-AUTO044,Hyderabad,Dove,Bar Soap,Dove Beauty Bar Japan 135g,Dove Men+Care Clean Comfort Bar Japan 135g,135,135,Blinkit,2026-03-19,110,110,INR,0,0,3,MED,source=blinkit_raw.csv
DOVE-BODYWASH-HYD-AUTO046,Hyderabad,Dove,Body Wash,Dove Deeply Nourishing Body Wash,Dove Men+Care Extra Fresh Body Wash,100,100,Amazon.in,2026-03-09,318,729,INR,1,1,3,HIGH,source=amazon_in_raw.csv
DOVE-BODYWASH-HYD-AUTO046,Hyderabad,Dove,Body Wash,Dove Deeply Nourishing Body Wash,Dove Men+Care Extra Fresh Body Wash,100,100,Blinkit,2026-03-18,337,198,INR,0,0,3,MED,source=blinkit_raw.csv
DOVE-BODYWASH-HYD-AUTO046,Hyderabad,Dove,Body Wash,Dove Deeply Nourishing Body Wash,Dove Men+Care Extra Fresh Body Wash,100,100,Flipkart,2026-03-18,137,183,INR,0,0,3,HIGH,source=flipkart_raw.csv
DOVE-CONDITIO-HYD-AUTO002,Hyderabad,Dove,Conditioner,Dove Moisture Care Conditioner 500ml,Dove Men+Care Hair Defence Conditioner 500ml,500,500,Amazon.in,2026-03-09,278,1037,INR,1,1,3,HIGH,source=amazon_in_raw.csv
DOVE-CONDITIO-HYD-AUTO002,Hyderabad,Dove,Conditioner,Dove Moisture Care Conditioner 500ml,Dove Men+Care Hair Defence Conditioner 500ml,500,500,Blinkit,2026-03-19,531,531,INR,0,0,3,MED,source=blinkit_raw.csv
DOVE-DEODORAN-HYD-AUTO001,Hyderabad,Dove,Deodorant Roll-On,Dove Eventone Deodorant Roll-On,Dove Men+Care Dry Comfort Roll-On,100,100,Amazon.in,2026-03-09,129,2446,INR,1,1,3,HIGH,source=amazon_in_raw.csv
DOVE-DEODORAN-HYD-AUTO001,Hyderabad,Dove,Deodorant Roll-On,Dove Eventone Deodorant Roll-On,Dove Men+Care Dry Comfort Roll-On,100,100,Blinkit,2026-03-19,334,299,INR,0,0,3,MED,source=blinkit_raw.csv
DOVE-DEODORAN-HYD-AUTO002,Hyderabad,Dove,Deodorant Roll-On,Dove Advance Care Deodorant Women (40ml),Dove Men+Care Roll-On (40ml),40,40,Amazon.in,2026-03-09,232,2638,INR,1,1,3,HIGH,source=amazon_in_raw.csv
DOVE-DEODORAN-HYD-AUTO002,Hyderabad,Dove,Deodorant Roll-On,Dove Advance Care Deodorant Women (40ml),Dove Men+Care Roll-On (40ml),40,40,Blinkit,2026-03-19,576,318,INR,0,0,3,MED,source=blinkit_raw.csv
DOVE-DEODORAN-HYD-AUTO052,Hyderabad,Dove,Deodorant Spray,Dove Eventone Body Spray Women 150ml,Dove Men+Care Clean Comfort Spray 150ml,150,150,Amazon.in,2026-03-09,639,2510,INR,1,1,3,HIGH,source=amazon_in_raw.csv
DOVE-DEODORAN-HYD-AUTO052,Hyderabad,Dove,Deodorant Spray,Dove Eventone Body Spray Women 150ml,Dove Men+Care Clean Comfort Spray 150ml,150,150,Blinkit,2026-03-19,184,108,INR,0,0,3,MED,source=blinkit_raw.csv
DOVE-DEODORAN-HYD-AUTO052,Hyderabad,Dove,Deodorant Spray,Dove Eventone Body Spray Women 150ml,Dove Men+Care Clean Comfort Spray 150ml,150,150,Flipkart,2026-03-18,206,561,INR,0,0,3,HIGH,source=flipkart_raw.csv
