pair_code,city,brand,category,female_product,male_product,female_size,male_size,retailer,date_observed,female_price_local,male_price_local,currency,female_on_promo,male_on_promo,female_ppu_local,male_ppu_local,pink_tax_pct,match_quality,confidence,match_notes,ingredient_count_female,ingredient_count_male,ingredient_overlap_pct,top_5_shared,female_unique_count,male_unique_count,jaccard_similarity,data_source,obf_female_match,obf_male_match
DOVE-BARSOAP-TKY-AUTO043,Tokyo,Dove,Bar Soap,Dove Beauty Bar,Dove Men+Care Clean Comfort Bar,100,100,Matsumoto Kiyoshi,2026-03-18,415,415,JPY,0,0,4.15,4.15,0.0,3,HIGH,source=matsumoto_raw.csv,10,10,90.0,aqua|glycerin|lauric acid|parfum|sodium isethionate,1,1,0.8182,fallback_table,built-in,built-in
DOVE-BARSOAP-TKY-AUTO043,Tokyo,Dove,Bar Soap,Dove Beauty Bar,Dove Men+Care Clean Comfort Bar,100,100,Rakuten Japan,2026-03-10,5490,5200,JPY,0,0,54.9,52.0,5.5769,3,HIGH,source=rakuten_jp_raw.csv,10,10,90.0,aqua|glycerin|lauric acid|parfum|sodium isethionate,1,1,0.8182,fallback_table,built-in,built-in
DOVE-BARSOAP-TKY-AUTO044,Tokyo,Dove,Bar Soap,Dove Beauty Bar Japan 135g,Dove Men+Care Clean Comfort Bar Japan 135g,135,135,Amazon.co.jp,2026-03-10,1800,875,JPY,0,0,13.333333,6.481481,105.7143,3,HIGH,source=amazon_jp_raw.csv,10,10,90.0,aqua|glycerin|lauric acid|parfum|sodium isethionate,1,1,0.8182,fallback_table,built-in,built-in
DOVE-BARSOAP-TKY-AUTO044,Tokyo,Dove,Bar Soap,Dove Beauty Bar Japan 135g,Dove Men+Care Clean Comfort Bar Japan 135g,135,135,Matsumoto Kiyoshi,2026-03-18,415,415,JPY,0,0,3.074074,3.074074,0.0,3,HIGH,source=matsumoto_raw.csv,10,10,90.0,aqua|glycerin|lauric acid|parfum|sodium isethionate,1,1,0.8182,fallback_table,built-in,built-in
DOVE-BARSOAP-TKY-AUTO044,Tokyo,Dove,Bar Soap,Dove Beauty Bar Japan 135g,Dove Men+Care Clean Comfort Bar Japan 135g,135,135,Rakuten Japan,2026-03-10,2990,4800,JPY,0,0,22.148148,35.555556,-37.7083,3,HIGH,source=rakuten_jp_raw.csv,10,10,90.0,aqua|glycerin|lauric acid|parfum|sodium isethionate,1,1,0.8182,fallback_table,built-in,built-in
DOVE-BARSOAP-TKY-AUTO045,Tokyo,Dove,Bar Soap,Dove Cream Beauty Bathing Bar Shea Butter Women (1,Dove Men+Care Clean Comfort Bar (100g),100,100,Amazon.co.jp,2026-03-10,1980,875,JPY,0,0,19.8,8.75,126.2857,3,HIGH,source=amazon_jp_raw.csv,10,10,90.0,aqua|glycerin|lauric acid|parfum|sodium isethionate,1,1,0.8182,fallback_table,built-in,built-in
DOVE-CONDITIO-TKY-AUTO049,Tokyo,Dove,Conditioner,Dove Moisture Care Conditioner 500ml,Dove Men+Care Hair Defence Conditioner 500ml,500,500,Amazon.co.jp,2026-03-10,776,841,JPY,0,0,1.552,1.682,-7.7289,3,HIGH,source=amazon_jp_raw.csv,10,10,90.0,aqua|behentrimonium chloride|cetearyl alcohol|citric acid|dimethicone,1,1,0.8182,fallback_table,built-in,built-in
DOVE-DEODORAN-TKY-AUTO050,Tokyo,Dove,Deodorant Roll-On,Dove Eventone Deodorant Roll-On,Dove Men+Care Dry Comfort Roll-On,100,100,Amazon.co.jp,2026-03-10,1990,1990,JPY,0,1,19.9,19.9,0.0,3,HIGH,source=amazon_jp_raw.csv,10,10,90.0,aluminum zirconium tetrachlorohydrex gly|aqua|cyclopentasiloxane|dimethicone|hydrogenated castor oil,1,1,0.8182,fallback_table,built-in,built-in
DOVE-DEODORAN-TKY-AUTO051,Tokyo,Dove,Deodorant Roll-On,Dove Advance Care Deodorant Women (40ml),Dove Men+Care Roll-On (40ml),40,40,Amazon.co.jp,2026-03-10,1350,1990,JPY,0,0,33.75,49.75,-32.1608,3,HIGH,source=amazon_jp_raw.csv,10,10,90.0,aluminum zirconium tetrachlorohydrex gly|aqua|cyclopentasiloxane|dimethicone|hydrogenated castor oil,1,1,0.8182,fallback_table,built-in,built-in
DOVE-DEODORAN-TKY-AUTO052,Tokyo,Dove,Deodorant Spray,Dove Eventone Body Spray Women 150ml,Dove Men+Care Clean Comfort Spray 150ml,150,150,Amazon.co.jp,2026-03-10,2200,1990,JPY,0,0,14.666667,13.266667,10.5528,3,HIGH,source=amazon_jp_raw.csv,10,10,90.0,alcohol denat|aluminum chlorohydrate|aqua|butane|cyclopentasiloxane,1,1,0.8182,fallback_table,built-in,built-in
DOVE-FACIALCL-TKY-AUTO053,Tokyo,Dove,Facial Cleanser,Dove Cream Milk Face Wash 100ml,Dove Men+Care Sensitive Face Wash 100ml,100,100,Amazon.co.jp,2026-03-10,740,875,JPY,1,1,7.4,8.75,-15.4286,3,HIGH,source=amazon_jp_raw.csv,10,10,90.0,aqua|citric acid|cocamidopropyl betaine|glycerin|panthenol,1,1,0.8182,fallback_table,built-in,built-in
DOVE-SHAMPOO-TKY-AUTO058,Tokyo,Dove,Shampoo,Dove Moisture Care Shampoo 500ml,Dove Men+Care Scalp Care Shampoo 480ml,500,480,Amazon.co.jp,2026-03-10,1463,450,JPY,0,1,2.926,0.9375,212.1067,3,HIGH,source=amazon_jp_raw.csv,10,10,90.0,aqua|citric acid|cocamidopropyl betaine|dimethicone|glycerin,1,1,0.8182,fallback_table,built-in,built-in
DOVE-SUNSCREE-TKY-AUTO059,Tokyo,Dove,Sunscreen,Dove Even Tone Antiperspirant+SPF Roll-On 50ml,Dove Men+Care Control Antiperspirant Roll-On 50ml,50,50,Amazon.co.jp,2026-03-10,2200,3480,JPY,1,1,44.0,69.6,-36.7816,3,HIGH,source=amazon_jp_raw.csv,10,10,90.0,aqua|avobenzone|dimethicone|ethylhexyl salicylate|glycerin,1,1,0.8182,fallback_table,built-in,built-in
DOVE-SUNSCREE-TKY-AUTO059,Tokyo,Dove,Sunscreen,Dove Even Tone Antiperspirant+SPF Roll-On 50ml,Dove Men+Care Control Antiperspirant Roll-On 50ml,50,50,Matsumoto Kiyoshi,2026-03-18,415,415,JPY,0,0,8.3,8.3,0.0,3,HIGH,source=matsumoto_raw.csv,10,10,90.0,aqua|avobenzone|dimethicone|ethylhexyl salicylate|glycerin,1,1,0.8182,fallback_table,built-in,built-in
GARNIE-SHAMPOO-TKY-AUTO073,Tokyo,Garnier,Shampoo,Garnier Ultra Blends Soy Milk Shampoo 340ml,Garnier Men Anti-Dandruff Shampoo 340ml,340,340,Amazon.co.jp,2026-03-10,2800,5940,JPY,1,1,8.235294,17.470588,-52.862,3,HIGH,source=amazon_jp_raw.csv,10,10,90.0,aqua|citric acid|cocamidopropyl betaine|dimethicone|glycerin,1,1,0.8182,fallback_table,built-in,built-in
GARNIE-SHAMPOO-TKY-AUTO074,Tokyo,Garnier,Shampoo,Garnier Fructis Smooth & Shine Shampoo 400ml,Garnier Fructis Men Clean & Fresh Shampoo 400ml,400,400,Amazon.co.jp,2026-03-10,2504,1980,JPY,1,0,6.26,4.95,26.4646,3,HIGH,source=amazon_jp_raw.csv,10,10,90.0,aqua|citric acid|cocamidopropyl betaine|dimethicone|glycerin,1,1,0.8182,fallback_table,built-in,built-in
GILLET-RAZOR-TKY-01,Tokyo,Gillette/Venus,Razor (3-blade starter kit),Gillette Venus Smooth Razor,Gillette Mach3 Razor,1,1,Amazon.co.jp,2026-03-10,2725,6028,JPY,1,0,2725.0,6028.0,-54.7943,5,HIGH,source=amazon_jp_raw.csv,15,15,100.0,aloe barbadensis leaf juice|bht|glycol|lubrastrip : peg-7m|peg-100,0,0,1.0,api,Swirl,Swirl
